ko_id,ko_name,n_cells,fc_1-2,pval
KO:K01530,phospholipid-translocating ATPase [EC:7.6.2.1],3579,-4.187232,7.867250797138256e-115
KO:K08349,"formate dehydrogenase-N, beta subunit",2152,-4.125281,5.643284486058604e-28
KO:K03882,NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2],2718,-3.9575155,3.891711586100903e-94
KO:K00698,chitin synthase [EC:2.4.1.16],2867,-3.8065174,4.699702386169674e-111
KO:K03884,NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2],2897,-3.6720188,2.4043943902175644e-89
KO:K10413,"dynein heavy chain 1, cytosolic",2946,-3.525161,3.882677888769935e-117
KO:K00668,"fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]",2110,-3.455355,9.85996938436611e-132
KO:K19525,vacuolar protein sorting-associated protein 13A/C,2608,-3.3245168,3.7804104953943575e-128
KO:K12854,pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13],2990,-3.312958,1.3236834454317038e-108
KO:K00706,"1,3-beta-glucan synthase [EC:2.4.1.34]",1399,-3.297998,5.868943601172055e-169
KO:K10590,E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26],2164,-3.2392192,3.7706844766987094e-159
KO:K04646,clathrin heavy chain,2805,-3.2261894,4.5784197570892705e-130
KO:K07203,serine/threonine-protein kinase mTOR [EC:2.7.11.1],2826,-3.1903367,1.6809322559943707e-114
KO:K16261,yeast amino acid transporter,1430,-3.142081,4.796334956394189e-118
KO:K05767,Ras GTPase-activating-like protein IQGAP2/3,1448,-3.1186888,1.9777503750308695e-156
KO:K15192,TATA-binding protein-associated factor [EC:3.6.4.-],2554,-3.1051154,6.709051501913969e-129
KO:K11654,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-],2865,-3.1030178,5.024302745140785e-145
KO:K08675,ATP-dependent Lon protease [EC:3.4.21.53],3403,-3.089044,2.944337100481881e-27
KO:K01568,pyruvate decarboxylase [EC:4.1.1.1],2238,-3.0814261,2.978093347727811e-63
KO:K04640,"guanine nucleotide-binding protein subunit alpha, other",1575,-3.0742965,1.1941759008742551e-147
KO:K14401,cleavage and polyadenylation specificity factor subunit 1,3095,-3.0675611,5.658804302017894e-95
KO:K04728,serine-protein kinase ATM [EC:2.7.11.1],1942,-3.0634925,2.7940026641332825e-161
KO:K05012,chloride channel 3/4/5,1641,-3.0632706,3.5903535671474995e-152
KO:K08176,"MFS transporter, PHS family, inorganic phosphate transporter",2146,-3.0577097,5.8235814423862237e-126
KO:K02999,DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6],2637,-3.051428,7.868592954586694e-140
KO:K03880,NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2],3391,-3.0506732,2.52723650340188e-80
KO:K12618,5'-3' exoribonuclease 1 [EC:3.1.13.-],3423,-3.0399625,9.326329629703572e-124
KO:K06067,histone deacetylase 1/2 [EC:3.5.1.98],3791,-3.027849,3.0944874361751826e-58
KO:K00921,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150],2303,-3.024406,1.7190950361852889e-131
KO:K02324,DNA polymerase epsilon subunit 1 [EC:2.7.7.7],2616,-3.0202997,2.95524742480123e-129
KO:K12856,pre-mRNA-processing factor 8,2979,-3.0202394,1.1471937127788224e-115
KO:K11592,endoribonuclease Dicer [EC:3.1.26.-],1698,-3.0159516,7.798610312670787e-146
KO:K06699,proteasome activator subunit 4,1768,-3.0074253,7.542948847438221e-158
KO:K08737,DNA mismatch repair protein MSH6,2213,-3.0024204,6.244509492984352e-161
